Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Staff,21,1,1,White,2,,0,Mostly trust,Mostly safe,Very confident,walkability,further location outside of Boone
Student,,1,0,White,,,3,,,,,
Staff,19,2,1,White,3,,0,Mostly trust,Very safe,Not sure,More appointment times ,Scheduling and transportation 
Student,20,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Close to home,Farther from home
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,location ,
Student,19,2,0,White,,,3,,,,,
Student,32,2,1,White,,,0,,,,,
Staff,34,2,1,White,,,0,,,,,
Staff,25,2,1,White,,,0,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,parking ,Weird time slots
Student,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,Close distance ,High demand 
Student,24,2,0,White,,,3,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,54,2,1,White,,,0,,,,,
Staff,,2,1,White,2,,0,Completely trust,Very safe,Very confident,Nothing. I would do anything I needed to do in order to receive the vaccine.,Transportation could be a possible issue.
Student,24,1,0,White,2,,3,Mostly trust,Very safe,Very confident,N/a,N/a
Student,,1,0,White,,,3,,,,,
Staff,18,2,1,White,2,,0,Mostly trust,Not sure,Somewhat confident,Nothing I plan on getting it,Nothing
Student,,2,0,White,,,3,,,,,
Staff,19,1,1,White,2,,0,Completely trust,Very safe,Very confident,,
Student,20,2,0,White,2,,3,Not sure,Mostly safe,Very confident,,
Student,19,2,0,White,1,the sideaffects and possible hazards ,,Mostly trust,Mostly safe,Very confident,On campus site ,if i had to drive to get it
Student,18,1,0,White,1,The vaccine isn't FDA approved and there are many unknown side effects,,Do not trust at all,Not sure,Only slightly confident,More information on safety of the vaccine,Lack of information on the vaccine
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,I want to be up to date more on when we can get the vaccine ,nothing i just need information 
Student,,1,0,White,1,Bill Gatesâ€™ planned eugenics and population control,,Do not trust at all,Not safe at all,Somewhat confident,,
Staff,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,proximity to campus,Hours not compatible with class schedule
Student,21,2,0,White,3,,3,Mostly trust,Very safe,Somewhat confident,If it was on Appalachian state campus or in Boone,If it were only available in Charlotte 
Student,21,2,0,White,1,Infertility ,,Somewhat trust,Mostly safe,Somewhat confident,Idk,Idk
Student,,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,21,3,0,White,2,,3,Completely trust,Very safe,Very confident,If it was available on campus ,"Nothing. If itâ€™s available to me, I will get it"
Student,19,2,0,"Hispanic or Latinx,White",2,,3,Completely trust,Mostly safe,Somewhat confident,For the vaccine to be given on campus. ,Having to drive a far distance in order to receive it. 
Student,24,5,0,White,2,,3,Completely trust,Very safe,Somewhat confident,,
Student,18,3,0,White,2,,3,Completely trust,Very safe,Very confident,If I am told that I can get the covid-19 vaccine I will do whatever it takes to get to the location ,If for some reason the location is hours away and I canâ€™t get there in time 
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Having transportation ,Lack of transportation 
Student,,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,,2,0,White,,,3,,,,,
Student,21,1,1,White,2,,0,Completely trust,Very safe,Very confident,A medical setting to receive it in,"My body does not take vaccines well, I.e. fainting consistently after any dose received "
Student,32,1,0,White,,,3,,,,,
Staff,,2,1,White,3,,0,Completely trust,Mostly safe,Very confident,Give available times without long wait times,Long wait 
Student,22,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Flexible time slots ,
Student,34,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Flexible Scheduling,NA
Staff,21,1,0,White,1,Anaphylactic shock ,,Do not trust at all,Not safe at all,Not sure,A free cheese pizza,EVERYTHING ELSE 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,A relatively close vaccination location,Odd times to go receive it (scheduling)
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,It was in walking distance from campus,If it isnâ€™t in walking distance from campus as I donâ€™t have a car
Student,21,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,More local places to get it,the school they have been really poor at handling anything covid but act like it's ok. Its been a bit stressful
Student,19,2,0,White,1,Possible effects on Pregnancy ,,Mostly trust,Mostly safe,Somewhat confident,,
Student,20,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,If the school organizes the process of vaccination well. Meaning: many people will want to get the vaccine all at once this may cause the process to become very clustered and it may be difficult to get an appointment/vaccine. ,If a bunch of people are all trying to get the vaccine at once and itâ€™s unorganized 
Student,22,1,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,18,3,0,White,1,Temporary side effects,,Mostly trust,Very safe,Somewhat confident,University holiday/ability to work it into my schedule,Having to travel off campus or further (no car)
Student,20,2,0,White,1,"rumors of infertility, not sure what the long term effects will be, etc. ",,Do not trust at all,Not sure,Only slightly confident,"nothing. i donâ€™t trust the CDC, the WHO, or the US government. there is too much corruption and a deep state that has goals we are unaware of. i wonâ€™t take anything they recommend.",
Student,19,2,0,White,1,,3,Do not trust at all,Not safe at all,Only slightly confident,"I donâ€™t feel comfortable getting it, and nothing would change that for me","I donâ€™t put my trust in a vaccine- I havenâ€™t gotten covid yet even though people very close to me have. I generally have pretty bad reactions to medicines, vaccines, etc. since My body is so sensitive and I donâ€™t want to risk it "
Student,19,3,0,White,2,,3,Completely trust,Very safe,Very confident,Making it close to me,Making on the other side of campus
Student,,3,0,White,,,3,,,,,
Staff,41,3,1,White,,,0,,,,,
Staff,19,1,1,White,2,,0,Completely trust,Very safe,Very confident,Multiple vaccine locations and constant emailing of schedules ,Class schedules 
Student,26,2,0,White,1,Theyâ€™re worried about the side effects and/or the donâ€™t believe that Covid is dangerous as the cdc is saying. ,,Mostly trust,Mostly safe,Somewhat confident,Not sure ,Scheduling
Student,,3,0,White,2,,3,Completely trust,Very safe,Very confident,"Email and Voice call, since I'm hard of hearing and busy so I might miss a call.",I would have to travel to campus. But I am totally ready and willing to do so!
Student,23,1,0,Hispanic or Latinx,1,"People reacting negatively to the vaccine (fevers, headaches, etc.) I had a really bad reaction to a flu shot, last year!",,Mostly trust,Mostly safe,Very confident,If the vaccine would come to me instead of me walking across campus to get it (I live in Bowie.),Distance.
Staff,20,2,0,White,1,Conspiracy theories,,Mostly trust,Very safe,Somewhat confident,"Easy location and administration, assurance from the university, free stuff","Charges, uncertain time or protocol, obscure location"
Student,21,1,0,White,1,Iâ€™ve seen misinformation on social media (that Iâ€™ve personally disregarded) that the vaccines alter recipientsâ€™ DNA or contain â€œmicrochipsâ€. ,,Completely trust,Mostly safe,Somewhat confident,"Flexible scheduling, transporting ",Class conflicts
Student,18,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,"making it on campus. I do not have a car to get me to off campus locations, and I try not to take the bus to decrease my covid exposure. ",making the location to receive the vaccine off campus. 
Student,19,2,0,White,1,"The fact that we donâ€™t know the long term effects of the vaccine. And in my opinion, it came out too quickly. They came up with a vaccine for Covid in less than a year, it took years and years just to find a vaccine for the Flu. ",,Do not trust at all,Not safe at all,Only slightly confident,"If all elected officials get it, but even then I probably wouldnâ€™t get it.","The fact that we donâ€™t know the long term effects, and after this past year, I donâ€™t know what is true or false anymore when it comes to the media and news. "
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,Having an exact date and time of when I need to get it.,Being able to get to Boone if weather was bad.
Student,,2,0,White,2,,3,Completely trust,Very safe,Very confident,I will do anything,My class schedule 
Student,18,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Nothing- it is already very easy for me to accept getting the vaccine.,Nothing
Student,54,2,0,White,,,3,,,,,
Staff,20,2,1,White,1,Fertility reasons ,,Somewhat trust,Mostly safe,Very confident,,
Student,,2,0,White,,,3,,,,,
Staff,18,1,1,"Hispanic or Latinx,White",3,,0,Not sure,Not sure,Not sure,"Time, for more research specifically",N/A
Student,18,1,0,Hispanic or Latinx,2,,3,Mostly trust,Mostly safe,Very confident,"Look, Iâ€™m not at all concerned about the virus and how it affects me personally. I wear a mask and follow the guidelines for the sake of others, but I feel no urgency to go get vaccinated or anything like that. If it were made available to me for free I would go get it eventually so that everything can go back to normal, but I have no fear of Covid.",The fact that I donâ€™t give two fucks about Covid. I would still go get the vaccine when I have the time though :P
Student,,1,0,Hispanic or Latinx,,,3,,,,,
Staff,20,1,1,White,2,,0,Do not trust at all,Not sure,Not sure,I wonâ€™t get it.,I wonâ€™t get it.
Student,22,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Availability to get the vaccine on weekends/outside of normal work hours,Limited time frames and locations to receive vaccine
Student,20,2,0,White,,,3,,,,,
Student,,1,1,White,1,"J&J vaccine is less effective than Moderna/Pfizer. If I'm to be in close contact with students, I want the most effective vaccine and those have not been made available to my group yet in the area.",,Mostly trust,Very safe,Somewhat confident,for the university to host a vaccination site,if it's the J&J vaccine
Staff,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,Opening up times to get the vaccine to students,
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Having uni let me know in email how to sign up for vaccine appt,possibly not being in the area for the second dose
Student,18,2,0,White,1,My mom is always messaging me about the side effects,,Completely trust,Very safe,Somewhat confident,"Nothing, I would get it no questions asked.","If it were provided at an off campus facility, i have no transportation"
Student,20,3,0,White,1,The effectiveness rates,,Completely trust,Mostly safe,Very confident,"Flexible appointments, many hours, passes for late work from professors ","Inflexible appointments, professors not understanding vaccine side effects make it hard to do school "
Student,20,3,0,White,2,,3,Mostly trust,Very safe,Very confident,NA,Nothing
Student,23,2,0,White,1,Some people have died from the vaccine ,,Somewhat trust,Very safe,Very confident,Having a day off,Finding time between work and classes
Student,20,1,0,Hispanic or Latinx,3,,3,Mostly trust,Very safe,Somewhat confident,Knowing when to take it ,Not sure 
Student,29,1,0,Hispanic or Latinx,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,Understanding how to sign up to get the vaccine.,Not understanding how to sign up to get the vaccine or not knowing I am eligible to get it.
Student,19,2,0,White,2,,3,Somewhat trust,Very safe,Very confident,Taking it in a room by myself with the nurse. ,Phobia of Shots
Student,19,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,If it were a mobile vaccine that would now have a long wait,Having to wait in long lines
Student,,1,0,White,,,3,,,,,
Student,,2,1,White,1,Possibility to affect reproductive system,,Mostly trust,Very safe,Very confident,clear communication,"misleading communication, unflexible time frame"
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,"Maybe doing kind of like a drive through service with the vaccine, however if this is not available, it is not going to stop me from getting the vaccine. My main priority right now is trying everything in my power to get the vaccine.  ",I can not think of anything.
Student,20,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Staff,37,2,1,White,,,0,,,,,
Student,18,2,1,White,,,0,,,,,
Student,36,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,"location, dates/times available","students/people not wearing masks/socially distancing and then getting COVID-19 --> forcing my family to quarantine over and over again! (and thus, having to cancel vaccine appointments ;P)"
Staff,20,1,0,White,2,,3,Completely trust,Very safe,Very confident,Info in advance and making the process very fast,Time conflict
Student,20,2,0,White,3,,3,Somewhat trust,Not sure,Somewhat confident,,
Student,20,2,0,"Asian,White",2,,3,Completely trust,Very safe,Very confident,,Iâ€™m nowhere near campus
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Knowing where and how I could revive the COVID-19 vaccination ,
Student,18,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,I am not really sure what is in place currently but a system that makes it easy to make an appointment would be the best.,If the time line of getting the vaccine went past the end of the semester and I had to go back to NY
Student,,1,0,White,,,3,,,,,
Staff,22,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,If it were available at a location near me ,If it was only available on campus 
Student,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,Potential transportation or an on-campus site,Nothing i can think of
Student,20,2,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,If I didnâ€™t not have to travel far to get the vaccine ,Long waits 
Student,27,2,0,White,,,3,,,,,
Staff,19,1,1,White,1,New strands of covid are coming out that the vaccine doesn't fight,,Do not trust at all,Not sure,Only slightly confident,Nothing,Nothing
Student,21,1,0,White,,,3,,,,,
Student,59,1,1,White,,,0,,,,,
Staff,20,1,1,White,1,I have seen peopleâ€™s concern that the vaccine alters your DNA,,Mostly trust,Mostly safe,Somewhat confident,For it to be offered on campus,If I had to travel to receive it
Student,19,2,0,White,1,Iâ€™ve heard of some bad side effects and heard of some people dying from the vaccine,,Do not trust at all,Not safe at all,Only slightly confident,not sure ,I go back and forth from home to school frequently and the vaccine date may fall on a day where I am not on campus 
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,A large range of dates and times that I could go get the vaccine. Preferably somewhere in Boone.,Limited hours and far away
Student,20,2,0,White,1,"Rumors of cancer, infertility, etc. ",,Mostly trust,Very safe,Very confident,Iâ€™m getting it later today but for most people Iâ€™d say make it available Over the weekends too,Timing with it being offered during midterm week
Student,19,2,0,White,,,3,,,,,
Student,21,3,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,"ability to get that vaccine on campus with lots of different appointment times available, university sending emails with step by step information and links for how to make that appointment ","fewer locations to get it with not very many available appointment times, lack of information on how/where to make an appointment "
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,26,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,"I would get it immediately, nothing would make it easier.","If I could only get it at a specific time, and that time was during class time or on a day when I am on practicum. It would be difficult, but I would rearrange everything and anything to get the vaccine."
Student,18,1,0,White,1,"The vaccine killed my bosses brother, allegedly",,Completely trust,Very safe,Very confident,Tents that had it on both East and west side ,If I had to make an appointment for it
Student,21,7,0,White,2,,3,Do not trust at all,Not safe at all,Not sure,I wouldnâ€™t get it,I just wouldnâ€™t get it
Student,21,2,0,White,1,"Not for me, but I assume others on campus may subscribe to certain media that is spreading lies about the covid vaccine and they would refuse to get it, mainly conservative media and crap like Facebook saying the vaccine is ineffective or will give you cancer or other stupid things like that (this is obviously personal opinion but considering some things Iâ€™ve seen on campus and around boone, I believe this to be true) ",,Completely trust,Very safe,Very confident,,
Student,41,2,0,White,1,There have been a few deaths after people took the vaccine.,,Mostly trust,Mostly safe,Very confident,vaccine being available close to home,vaccine not being available near by
Staff,33,2,0,White,1,Unexplained deaths or severe illness after getting the vaccine,,Somewhat trust,Mostly safe,Somewhat confident,Being supplied the most up to date information about vaccine safety,Knowing that there is a high rate of severe or fatal side effects
Staff,20,2,0,White,3,,3,Mostly trust,Very safe,Very confident,"Specific time to show up, if I can get the vaccine I will get absolutely get it that day ",Nothing 
Student,23,1,0,White,1,"People getting fevers and cold chills, coughing all day. I don't understand the purpose in making myself sick from a vax in order to not get sick from the virus.",,Somewhat trust,Mostly safe,Somewhat confident,Offer it sometime in the afternoon on a weekday. I'm swamped with homework during the day and on a saturday i would prefer to go hiking than get a needle in my arm.,The time it is offered or how long i would have to wait in line. Waiting in lines during all of this with the mask and social distancing freaks me out because it feels so dystopian. 
Student,20,2,0,White,2,,3,Completely trust,Mostly safe,Very confident,Vaccine clinic to  be on campus (easier walk),Long wait times
Student,32,2,0,White,,,3,,,,,
Staff,20,2,1,White,2,,0,Do not trust at all,Not sure,Somewhat confident,More information ,Not seeing how people react 
Student,,2,0,White,,,3,,,,,
Staff,19,1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,The proper information of when and where to get it.,Scheduling issues
Student,18,2,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,"Nothing, I am so ready to get the vaccine so I can protect others.",Failed efficacy and increased reactions.
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Easily accessible vaccination site,Finding a free moment to do it.
Student,52,2,0,White,,,3,,,,,
Staff,24,1,1,White,3,,0,Mostly trust,Very safe,Somewhat confident,Information on the clinic procedures so I can mentally prepare myself. (I don't like needles),Aggressive/pushy advertising
Staff,19,1,0,White,1,Unknown effects in child birth,,Do not trust at all,Mostly safe,Only slightly confident,,
Student,62,1,0,White,,,3,,,,,
Staff,41,7,1,White,1,Severe allergic reaction,,Do not trust at all,Not safe at all,Only slightly confident,Nothing,"I have multiple allergies, some of which can be life threatening"
Staff,19,2,0,White,1,Allergic reactions ,,Mostly trust,Mostly safe,Very confident,Location. ,Requirements 
Student,19,2,0,White,1,"Feeling sick, muscle sores/cramps, fever",,Mostly trust,Mostly safe,Very confident,"Clarity of side effects, if it is available on campus ","Side effects, having to drive somewhere/ inconvenience "
Student,20,2,0,White,,,3,,,,,
Student,19,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,,
Student,21,1,0,White,3,,3,Mostly trust,Very safe,Very confident,Organization,Too much waiting and crowding
Student,,1,0,White,,,3,,,,,
Staff,,2,1,White,2,,0,Completely trust,Very safe,Very confident,N/A,N/A
Student,46,2,0,White,2,,3,Do not trust at all,Not sure,Not sure,,
Staff,39,2,0,White,,,3,,,,,
Staff,60,1,1,Black or African American,2,,0,Completely trust,,Very confident,Quick appointment on campus,Nothing
Staff,20,2,0,White,1,Symptoms and the unknown lasting effects,,Do not trust at all,Not sure,Only slightly confident,I donâ€™t want to take it ,I donâ€™t want to take it 
Student,47,2,0,White,,,3,,,,,
Staff,20,2,1,Hispanic or Latinx,2,,0,Mostly trust,Mostly safe,Very confident,Having it free of charge/ close to my current location,It being too far away from where I am located
Student,19,2,0,White,1,"Feeling sick after the vaccine, effects fertility ",,Mostly trust,Mostly safe,Somewhat confident,If I could choose the day to get it,If there was a certain time I could get it 
Student,64,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,NA,NA
Staff,44,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,time off from work,no time
Staff,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,,2,0,White,1,There is no research on how the vaccine will be effective in the long run and what the outcome will be without the long term research.,,Completely trust,Mostly safe,Somewhat confident,Flexible times and drive through/ in and out visits.,Overload of people signing up at similar times.
Student,18,2,0,White,2,,3,Somewhat trust,Not sure,Only slightly confident,Just the availability and time slots,Not advertising and competitive time slots
Student,54,2,0,White,2,,3,Not sure,Very safe,Somewhat confident,On campus administration ,Getting an appointment 
Staff,21,2,0,White,1,Issues with validity ,,Somewhat trust,Mostly safe,Somewhat confident,Access ,My Anxiety
Student,27,2,0,White,1,I have not seen or heard enough. There should be more research before I would be willing to get one. ,,Do not trust at all,Not sure,Only slightly confident,Nothing. ,Not enough research or time to back it up. 
Student,20,2,0,White,1,Iâ€™m worried about the long term effects ,,Somewhat trust,Not sure,Not sure,A doctors approval and more information about all of the vaccines. ,Not knowing the long term effects. 
Student,30,2,0,White,,,3,,,,,
Staff,,2,1,White,1,Bad Side Effects,,Mostly trust,Very safe,Very confident,IDC. I just want it. ,Very limited times
Student,24,1,0,White,1,People discouraging getting it due to the proximal reactions afterwards. This doesnâ€™t discourage me but iâ€™ve heard of others hesitating for this reason. ,,Mostly trust,Very safe,Somewhat confident,Easy system for reading information and making the appointment ,being uninformed or unclear on the procedure to schedule the appointment 
Student,38,1,0,White,1,I am a healthy adult with no comorbidities that has already experienced Covid-19. I see no reason to innoculate myself.,,Mostly trust,Very safe,Very confident,"It is not a matter of ease, I see no reason for a person such as myself to get the vaccination.",My unwillingness to get the vaccine.
Student,20,2,0,Hispanic or Latinx,1,"Pain after second dosage, fainting, bad aches",,Somewhat trust,Not sure,Only slightly confident,Assuring me that nothing extremely bad is going to happen to me.,The fear of a bad reaction.
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Transportation to the site,Short hours/ working around my schedule 
Student,18,1,0,Other,1,"One brand of vaccine was completed in part through the use of tissues from aborted fetuses. In some vaccines, the side effects from getting the vaccine are similar to if not worse than the actual symptoms of COVID-19 one would experience. A certain type of vaccine targets mRNA, an unorthodox vaccination method that could lead to infertility, especially in women.",,Do not trust at all,Mostly safe,Very confident,COVID-19 being more of a threat to me than it actually is.,Being worried about side-effects more than the actual virus.
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,"Making it available during many times of the day, in order to make sure that people are able to get it without having to worry about their job or other responsibilities.",Making it available only during times when the common person works.
Student,18,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,A notification that I am able to get the vaccine.,Not getting a notification.
Student,46,1,0,White,,,3,,,,,
Staff,22,1,1,White,,,0,,,,,
Student,,2,1,Hispanic or Latinx,2,,0,Mostly trust,Not sure,Somewhat confident,drive up/walk up sites,having to schedule an appointment
Student,,1,0,White,2,,3,Mostly trust,Not sure,Very confident,If it was actually a one and done vaccine. ,"The fact that the COVID-19 is going to eventually become an endemic and even if the numbers dramatically fall in the coming days, it will still mutate and there will have to be booster shots each year. Right now I am also a healthy individual who believes that others need it before me.  "
Student,37,1,0,White,,,3,,,,,
Staff,53,2,1,White,3,,0,Somewhat trust,Mostly safe,Somewhat confident,n/a,n/a
Staff,49,1,0,White,1,I've never had a flu shot ever.  This vaccine has been somewhat rushed to market.  I've already had Covid and had minor symptoms.,,Somewhat trust,Mostly safe,Only slightly confident,The only reason I may get the shot is to be able to see my mom in an Assisted Living Center,"Other than the reason above, I wouldn't get the shot"
Staff,18,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,"A specific time to get the vaccine (an appointment) so I would be sure to get it rather than wait in line, miss class, and not even be sure Iâ€™ll get it.  ",If it was given to me off campus 
Student,21,2,0,White,1,i have heard that the side effects & conspiracy theories have made others hesitate. ,,Completely trust,Very safe,Very confident,"being notified asap, easy appointment making","not knowing if i was eligible, inability to make an appointment "
Student,42,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,18,2,1,White,,,0,,,,,
Student,43,2,1,White,,,0,,,,,
Staff,,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,Having a large quantity of the vaccine with multiple places to get it.  This would allow everyone to register (no waiting lists) for and receive the vaccine in an efficient manner.,Getting on a waiting list while everyone else goes ahead of you to get your shot.  This is happening in counties around the state.  My 86 year old mother is in Boone with me now so that that she can actually get a vaccine.  She lives in Henderson County and is still on a waiting list there to get her vaccination.  There are over a thousand people with appointments for first shot ahead of her and thousands on the waiting list.
Staff,19,2,0,White,,,3,,,,,
Student,,2,1,White,2,,0,Completely trust,Mostly safe,Very confident,Just the availability and having multiple times available! ,Nothing! 
Student,20,2,0,White,1,I heard Moderna employees spoke out about mRNA mechanisms that attacked female fertility that caused premature ovarian failure. I also am hesitant because it was developed so quickly and we will not know the side effects until many years to come.,,Not sure,Not sure,Only slightly confident,"I do not want to be forced to take a Vaccine we do not know the side effects of. Until I see more extensive research on it that is spread across news outlets, I am not comfortable taking it. ","The idea that it would ever be forced makes it difficult for me. I don't think it's fair to force a vaccine with unknown effects onto people. It is not the same as the Flu, Measles, or HPV vaccines. We have seen the effects of those for years. The Covid-19 vaccine has been around for not even six months."
Student,20,3,0,Biracial / Multiracial / Mixed,2,,3,Completely trust,Very safe,Very confident,lying to get it,if it required you be an essential worker or caretaker (as I am neither)
Student,,2,0,White,3,,3,Do not trust at all,Not safe at all,Only slightly confident,,
Student,20,2,0,White,,,3,,,,,
Student,21,1,1,White,1,"Reproductive problems, DNA alterations, already have a cure, unnecessary, not cleared by FDA, no accountability for manufacturing companies, not enough time to study full effects.",,Do not trust at all,Not safe at all,Only slightly confident,Nothing. I refuse to get it.,Nothing. I refuse to get it. 
Student,22,2,0,"Asian,White,Biracial / Multiracial / Mixed",2,,3,Mostly trust,Mostly safe,Very confident,if there isn't an insane wait ie: long line,if there isn't an insane wait ie: like 1.5-2 hours
Student,19,2,0,"Asian,White,Biracial / Multiracial / Mixed",,,3,,,,,
Student,19,2,1,White,1,"Long-term affects, the newness of it.",,Mostly trust,Mostly safe,Somewhat confident,To be administered on campus. ,To be far away. 
Student,29,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,An appointment where I didnâ€™t have to wait in long lines to get it,Time management 
Student,31,1,0,White,,,3,,,,,
Staff,47,2,1,White,1,facebook posts about negative effects of the vaccine,,Mostly trust,Very safe,Somewhat confident,,
