Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles,Reasons for Hesitation_pol,Reasons for Hesitation_subj,Reasons for Hesitation_sent,Obstacles_sent,Accessibility_sent,Accessibility_n,Obstacles_n,Reasons for Hesitation_n,Respondent_n,Race_n,Confidence Level_n,Trust Level_n,Safety Level_n,Cluster,Obstacles_tk,Reasons for Hesitation_tk,Accessibility_tk 
Staff,55,2,1,White,2.0,Different things health long run,0.0,Completely trust,Very safe,Very confident,Email updates eligibility,Lack communication appointment availability,-0.025,0.5,negative,neutral,neutral,97,118,39,0,18,4,0,3,2,"['Lack', 'communication', 'appointment', 'availability']","['Different', 'things', 'health', 'long', 'run']","['Email', 'updates', 'eligibility']"
Staff,18,1,1,White,2.0,Different things health long run,0.0,Completely trust,Mostly safe,Very confident,Email updates eligibility,Lack communication appointment availability,-0.025,0.5,negative,neutral,neutral,97,118,39,0,18,4,0,0,2,"['Lack', 'communication', 'appointment', 'availability']","['Different', 'things', 'health', 'long', 'run']","['Email', 'updates', 'eligibility']"
Student,47,1,0,White,2.0,Different things health long run,3.0,Completely trust,Mostly safe,Very confident,Email updates eligibility,Lack communication appointment availability,-0.025,0.5,negative,neutral,neutral,97,118,39,1,18,4,0,0,2,"['Lack', 'communication', 'appointment', 'availability']","['Different', 'things', 'health', 'long', 'run']","['Email', 'updates', 'eligibility']"
Staff,19,2,1,White,2.0,Different things health long run,0.0,Mostly trust,Very safe,Very confident,distributed hours early later -. Ex â ,hours limited,-0.025,0.5,negative,negative,positive,428,428,39,0,18,4,2,3,0,"['hours', 'limited']","['Different', 'things', 'health', 'long', 'run']","['distributed', 'hours', 'early', 'later', '-', '.', 'Ex', 'â']"
Student,20,2,0,White,2.0,Different things health long run,3.0,Mostly trust,Very safe,Very confident,distributed hours early later -. Ex â ,hours limited,-0.025,0.5,negative,negative,positive,428,428,39,1,18,4,2,3,0,"['hours', 'limited']","['Different', 'things', 'health', 'long', 'run']","['distributed', 'hours', 'early', 'later', '-', '.', 'Ex', 'â']"
Student,19,1,1,White,2.0,Different things health long run,0.0,Completely trust,Very safe,Very confident,Good Info,tight time slot,-0.025,0.5,negative,negative,positive,135,601,39,1,18,4,0,3,0,"['tight', 'time', 'slot']","['Different', 'things', 'health', 'long', 'run']","['Good', 'Info']"
Student,35,1,0,White,2.0,Different things health long run,3.0,Completely trust,Very safe,Very confident,Good Info,tight time slot,-0.025,0.5,negative,negative,positive,135,601,39,1,18,4,0,3,0,"['tight', 'time', 'slot']","['Different', 'things', 'health', 'long', 'run']","['Good', 'Info']"
Staff,21,2,1,White,1.0,Possibly infertility,3.0,Do not trust at all,Mostly safe,Only slightly confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Itâ™s money- itâ™s research prove safety effectiveness,0.0,1.0,neutral,neutral,positive,495,103,134,0,18,2,1,0,2,"['Itâ™s', 'money-', 'itâ™s', 'research', 'prove', 'safety', 'effectiveness']","['Possibly', 'infertility']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Student,25,2,0,White,1.0,Possibly infertility,3.0,Do not trust at all,Mostly safe,Only slightly confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Itâ™s money- itâ™s research prove safety effectiveness,0.0,1.0,neutral,neutral,positive,495,103,134,1,18,2,1,0,2,"['Itâ™s', 'money-', 'itâ™s', 'research', 'prove', 'safety', 'effectiveness']","['Possibly', 'infertility']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Staff,19,2,1,Asian,2.0,Possibly infertility,0.0,Completely trust,Very safe,Very confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Itâ™s money- itâ™s research prove safety effectiveness,0.0,1.0,neutral,neutral,positive,495,103,134,0,5,4,0,3,2,"['Itâ™s', 'money-', 'itâ™s', 'research', 'prove', 'safety', 'effectiveness']","['Possibly', 'infertility']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Student,20,2,0,White,1.0,Different effects,0.0,Mostly trust,Mostly safe,Very confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Availability appetizers,0.0,0.6,neutral,neutral,positive,495,16,38,1,18,4,2,0,2,"['Availability', 'appetizers']","['Different', 'effects']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Student,58,2,0,White,1.0,Different effects,3.0,Mostly trust,Mostly safe,Very confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Availability appetizers,0.0,0.6,neutral,neutral,positive,495,16,38,1,18,4,2,0,2,"['Availability', 'appetizers']","['Different', 'effects']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Staff,20,2,1,Biracial / Multiracial / Mixed,1.0,Bad  hours following,3.0,Mostly trust,Mostly safe,Somewhat confident,"harmful effects infertility, perfectly healthy want new conditions arise vaccine thatâ™s year",Difficult access,-0.3499999999999999,0.3833333333333333,negative,negative,positive,495,49,13,0,9,3,2,0,2,"['Difficult', 'access']","['Bad', 'hours', 'following']","['harmful', 'effects', 'infertility', ',', 'perfectly', 'healthy', 'want', 'new', 'conditions', 'arise', 'vaccine', 'thatâ™s', 'year']"
Student,18,2,0,White,2.0,Bad  hours following,3.0,Mostly trust,Very safe,Very confident,location close campus possible,physically inaccessible,-0.3499999999999999,0.3833333333333333,negative,neutral,neutral,542,543,13,1,18,4,2,3,0,"['physically', 'inaccessible']","['Bad', 'hours', 'following']","['location', 'close', 'campus', 'possible']"
Student,19,2,0,White,2.0,Bad  hours following,3.0,Mostly trust,Not sure,Somewhat confident,places vaccine,physically inaccessible,-0.3499999999999999,0.3833333333333333,negative,neutral,positive,602,543,13,1,18,3,2,2,0,"['physically', 'inaccessible']","['Bad', 'hours', 'following']","['places', 'vaccine']"
Student,25,2,0,White,2.0,Bad  hours following,3.0,Mostly trust,Not sure,Somewhat confident,places vaccine,physically inaccessible,-0.3499999999999999,0.3833333333333333,negative,neutral,positive,602,543,13,1,18,3,2,2,0,"['physically', 'inaccessible']","['Bad', 'hours', 'following']","['places', 'vaccine']"
Student,48,2,1,White,2.0,Bad  hours following,0.0,Mostly trust,Not sure,Somewhat confident,places vaccine,physically inaccessible,-0.3499999999999999,0.3833333333333333,negative,neutral,positive,602,543,13,1,18,3,2,2,0,"['physically', 'inaccessible']","['Bad', 'hours', 'following']","['places', 'vaccine']"
Staff,19,3,1,White,2.0,Bad  hours following,0.0,Somewhat trust,Mostly safe,Somewhat confident,places vaccine,physically inaccessible,-0.3499999999999999,0.3833333333333333,negative,neutral,positive,602,543,13,0,18,3,4,0,0,"['physically', 'inaccessible']","['Bad', 'hours', 'following']","['places', 'vaccine']"
Student,19,2,0,"Hispanic or Latinx,White",1.0,Aborted babies,0.0,Completely trust,Mostly safe,Very confident,tested housing,"practice meets, sickness",0.0,0.0,neutral,neutral,neutral,671,547,3,1,14,4,0,0,0,"['practice', 'meets', ',', 'sickness']","['Aborted', 'babies']","['tested', 'housing']"
Student,30,2,0,"Hispanic or Latinx,White",1.0,Aborted babies,3.0,Completely trust,Mostly safe,Very confident,tested housing,"practice meets, sickness",0.0,0.0,neutral,neutral,neutral,671,547,3,1,14,4,0,0,0,"['practice', 'meets', ',', 'sickness']","['Aborted', 'babies']","['tested', 'housing']"
Staff,18,2,1,"Hispanic or Latinx,White",1.0,Aborted babies,0.0,Completely trust,Mostly safe,Very confident,tested housing,"practice meets, sickness",0.0,0.0,neutral,neutral,neutral,671,547,3,0,14,4,0,0,0,"['practice', 'meets', ',', 'sickness']","['Aborted', 'babies']","['tested', 'housing']"
Student,21,2,1,"Hispanic or Latinx,White",1.0,Aborted babies,0.0,Completely trust,Mostly safe,Very confident,tested housing,"practice meets, sickness",0.0,0.0,neutral,neutral,neutral,671,547,3,1,14,4,0,0,0,"['practice', 'meets', ',', 'sickness']","['Aborted', 'babies']","['tested', 'housing']"
Student,19,2,1,White,1.0,women infertile,0.0,Mostly trust,Very safe,Somewhat confident,sure,sure,0.0,0.0,neutral,negative,negative,666,586,391,1,18,3,2,3,3,['sure'],"['women', 'infertile']",['sure']
Student,20,1,0,White,2.0,women infertile,3.0,Completely trust,Very safe,Very confident,Invite email,,0.0,0.0,neutral,neutral,neutral,158,0,391,1,18,4,0,3,4,[],"['women', 'infertile']","['Invite', 'email']"
Student,21,1,0,White,1.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Do not trust at all,Not sure,Not sure,Week school,week school,-0.2,0.1,negative,neutral,neutral,309,680,106,1,18,1,1,2,0,"['week', 'school']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Week', 'school']"
Student,22,1,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Completely trust,Very safe,Very confident,Appt times receive,"Boone, doable preferred",-0.2,0.1,negative,neutral,neutral,23,22,106,1,18,4,0,3,2,"['Boone', ',', 'doable', 'preferred']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Appt', 'times', 'receive']"
Student,22,1,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Completely trust,Very safe,Very confident,Appt times receive,"Boone, doable preferred",-0.2,0.1,negative,neutral,neutral,23,22,106,1,18,4,0,3,2,"['Boone', ',', 'doable', 'preferred']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Appt', 'times', 'receive']"
Staff,21,1,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Mostly safe,Very confident,walkability,location outside Boone,-0.2,0.1,negative,neutral,neutral,714,492,106,0,18,4,2,0,0,"['location', 'outside', 'Boone']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['walkability']
Student,21,1,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Mostly safe,Very confident,walkability,location outside Boone,-0.2,0.1,negative,neutral,neutral,714,492,106,1,18,4,2,0,0,"['location', 'outside', 'Boone']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['walkability']
Staff,19,2,1,White,3.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Very safe,Not sure,appointment times,Scheduling transportation,-0.2,0.1,negative,neutral,positive,349,223,106,0,18,1,2,3,2,"['Scheduling', 'transportation']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['appointment', 'times']"
Student,20,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Completely trust,Very safe,Somewhat confident,Close home,Farther home,-0.2,0.1,negative,neutral,neutral,49,66,106,1,18,3,0,3,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Close', 'home']"
Student,20,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Mostly safe,Somewhat confident,location,Farther home,-0.2,0.1,negative,neutral,neutral,537,66,106,1,18,3,2,0,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['location']
Student,19,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Mostly safe,Somewhat confident,location,Farther home,-0.2,0.1,negative,neutral,neutral,537,66,106,1,18,3,2,0,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['location']
Student,32,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Mostly safe,Somewhat confident,location,Farther home,-0.2,0.1,negative,neutral,neutral,537,66,106,1,18,3,2,0,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['location']
Staff,34,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Mostly safe,Somewhat confident,location,Farther home,-0.2,0.1,negative,neutral,neutral,537,66,106,0,18,3,2,0,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['location']
Staff,25,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Mostly safe,Somewhat confident,location,Farther home,-0.2,0.1,negative,neutral,neutral,537,66,106,0,18,3,2,0,2,"['Farther', 'home']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['location']
Student,19,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Completely trust,Very safe,Somewhat confident,parking,Weird time slots,-0.2,0.1,negative,negative,neutral,594,263,106,1,18,3,0,3,2,"['Weird', 'time', 'slots']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['parking']
Student,18,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Completely trust,Very safe,Very confident,Close distance,High demand,-0.2,0.1,negative,positive,neutral,48,87,106,1,18,4,0,3,2,"['High', 'demand']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Close', 'distance']"
Student,24,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Completely trust,Very safe,Very confident,Close distance,High demand,-0.2,0.1,negative,positive,neutral,48,87,106,1,18,4,0,3,2,"['High', 'demand']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Close', 'distance']"
Staff,21,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Completely trust,Very safe,Very confident,Close distance,High demand,-0.2,0.1,negative,positive,neutral,48,87,106,0,18,4,0,3,2,"['High', 'demand']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Close', 'distance']"
Student,54,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Completely trust,Very safe,Very confident,Close distance,High demand,-0.2,0.1,negative,positive,neutral,48,87,106,1,18,4,0,3,2,"['High', 'demand']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Close', 'distance']"
Staff,54,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Completely trust,Very safe,Very confident,Nothing. needed order receive vaccine.,Transportation possible issue.,-0.2,0.1,negative,neutral,neutral,236,248,106,0,18,4,0,3,2,"['Transportation', 'possible', 'issue', '.']","['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['Nothing', '.', 'needed', 'order', 'receive', 'vaccine', '.']"
Student,24,1,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Very safe,Very confident,N/a,N/a,-0.2,0.1,negative,neutral,neutral,218,175,106,1,18,4,2,3,2,['N/a'],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['N/a']
Student,24,1,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Very safe,Very confident,N/a,N/a,-0.2,0.1,negative,neutral,neutral,218,175,106,1,18,4,2,3,2,['N/a'],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']",['N/a']
Staff,18,2,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Mostly trust,Not sure,Somewhat confident,plan getting,,-0.2,0.1,negative,neutral,neutral,603,0,106,0,18,3,2,2,2,[],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['plan', 'getting']"
Student,18,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Mostly trust,Not sure,Somewhat confident,plan getting,,-0.2,0.1,negative,neutral,neutral,603,0,106,1,18,3,2,2,2,[],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['plan', 'getting']"
Staff,19,1,1,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",0.0,Completely trust,Very safe,Very confident,plan getting,,-0.2,0.1,negative,neutral,neutral,603,0,106,0,18,4,0,3,2,[],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['plan', 'getting']"
Student,20,2,0,White,2.0,"Nothing. Thatâ™s thing. years, Iâ™ll",3.0,Not sure,Mostly safe,Very confident,plan getting,,-0.2,0.1,negative,neutral,neutral,603,0,106,1,18,4,3,0,2,[],"['Nothing', '.', 'Thatâ™s', 'thing', '.', 'years', ',', 'Iâ™ll']","['plan', 'getting']"
Student,19,2,0,White,1.0,sideaffects possible hazards,3.0,Mostly trust,Mostly safe,Very confident,campus site,drive,0.0,1.0,neutral,neutral,neutral,375,359,352,1,18,4,2,0,1,['drive'],"['sideaffects', 'possible', 'hazards']","['campus', 'site']"
Student,18,1,0,White,1.0,vaccine FDA approved unknown effects,3.0,Do not trust at all,Not sure,Only slightly confident,information safety vaccine,Lack information vaccine,0.2,0.55,positive,neutral,positive,506,123,372,1,18,2,1,2,4,"['Lack', 'information', 'vaccine']","['vaccine', 'FDA', 'approved', 'unknown', 'effects']","['information', 'safety', 'vaccine']"
Student,19,2,0,White,2.0,vaccine FDA approved unknown effects,3.0,Completely trust,Very safe,Very confident,want date vaccine,need information,0.2,0.55,positive,neutral,positive,719,525,372,1,18,4,0,3,3,"['need', 'information']","['vaccine', 'FDA', 'approved', 'unknown', 'effects']","['want', 'date', 'vaccine']"
Student,19,1,0,White,1.0,Bill Gatesâ™ planned eugenics population control,3.0,Do not trust at all,Not safe at all,Somewhat confident,want date vaccine,need information,0.0,0.0,neutral,neutral,positive,719,525,22,1,18,3,1,1,0,"['need', 'information']","['Bill', 'Gatesâ™', 'planned', 'eugenics', 'population', 'control']","['want', 'date', 'vaccine']"
Staff,19,2,0,White,2.0,Bill Gatesâ™ planned eugenics population control,3.0,Mostly trust,Very safe,Somewhat confident,proximity campus,Hours compatible class schedule,0.0,0.0,neutral,neutral,neutral,617,89,22,0,18,3,2,3,2,"['Hours', 'compatible', 'class', 'schedule']","['Bill', 'Gatesâ™', 'planned', 'eugenics', 'population', 'control']","['proximity', 'campus']"
Student,21,2,0,White,3.0,Bill Gatesâ™ planned eugenics population control,3.0,Mostly trust,Very safe,Somewhat confident,Appalachian state campus Boone,available Charlotte,0.0,0.0,neutral,positive,neutral,18,292,22,1,18,3,2,3,2,"['available', 'Charlotte']","['Bill', 'Gatesâ™', 'planned', 'eugenics', 'population', 'control']","['Appalachian', 'state', 'campus', 'Boone']"
Student,21,2,0,White,1.0,Infertility,3.0,Somewhat trust,Mostly safe,Somewhat confident,Idk,Idk,0.0,0.0,neutral,neutral,neutral,150,92,73,1,18,3,4,0,2,['Idk'],['Infertility'],['Idk']
Student,21,1,0,White,2.0,Infertility,3.0,Completely trust,Very safe,Very confident,Idk,Idk,0.0,0.0,neutral,neutral,neutral,150,92,73,1,18,4,0,3,2,['Idk'],['Infertility'],['Idk']
Student,21,3,0,White,2.0,Infertility,3.0,Completely trust,Very safe,Very confident,available campus,"Nothing. itâ™s available me,",0.0,0.0,neutral,positive,positive,355,188,73,1,18,4,0,3,2,"['Nothing', '.', 'itâ™s', 'available', 'me', ',']",['Infertility'],"['available', 'campus']"
Student,19,2,0,"Hispanic or Latinx,White",2.0,Infertility,3.0,Completely trust,Mostly safe,Somewhat confident,vaccine given campus.,drive far distance order receive it.,0.0,0.0,neutral,positive,neutral,705,363,73,1,14,3,0,0,0,"['drive', 'far', 'distance', 'order', 'receive', 'it', '.']",['Infertility'],"['vaccine', 'given', 'campus', '.']"
Student,24,5,0,White,2.0,Infertility,3.0,Completely trust,Very safe,Somewhat confident,vaccine given campus.,drive far distance order receive it.,0.0,0.0,neutral,positive,neutral,705,363,73,1,18,3,0,3,0,"['drive', 'far', 'distance', 'order', 'receive', 'it', '.']",['Infertility'],"['vaccine', 'given', 'campus', '.']"
Student,18,3,0,White,2.0,Infertility,3.0,Completely trust,Very safe,Very confident,told covid- vaccine takes location,reason location hours away canâ™t time,0.0,0.0,neutral,neutral,neutral,677,555,73,1,18,4,0,3,0,"['reason', 'location', 'hours', 'away', 'canâ™t', 'time']",['Infertility'],"['told', 'covid-', 'vaccine', 'takes', 'location']"
Student,19,2,0,White,2.0,Infertility,3.0,Mostly trust,Very safe,Very confident,transportation,Lack transportation,0.0,0.0,neutral,neutral,neutral,682,132,73,1,18,4,2,3,2,"['Lack', 'transportation']",['Infertility'],['transportation']
Student,19,2,0,White,2.0,Infertility,3.0,Mostly trust,Mostly safe,Somewhat confident,transportation,Lack transportation,0.0,0.0,neutral,neutral,neutral,682,132,73,1,18,3,2,0,2,"['Lack', 'transportation']",['Infertility'],['transportation']
Student,19,2,0,White,2.0,Infertility,3.0,Mostly trust,Mostly safe,Somewhat confident,transportation,Lack transportation,0.0,0.0,neutral,neutral,neutral,682,132,73,1,18,3,2,0,2,"['Lack', 'transportation']",['Infertility'],['transportation']
Student,21,1,1,White,2.0,Infertility,0.0,Completely trust,Very safe,Very confident,medical setting receive,"body vaccines well, I.e. fainting consistently dose received",0.0,0.0,neutral,positive,neutral,561,300,73,1,18,4,0,3,2,"['body', 'vaccines', 'well', ',', 'I.e', '.', 'fainting', 'consistently', 'dose', 'received']",['Infertility'],"['medical', 'setting', 'receive']"
Student,32,1,0,White,2.0,Infertility,3.0,Completely trust,Very safe,Very confident,medical setting receive,"body vaccines well, I.e. fainting consistently dose received",0.0,0.0,neutral,positive,neutral,561,300,73,1,18,4,0,3,2,"['body', 'vaccines', 'well', ',', 'I.e', '.', 'fainting', 'consistently', 'dose', 'received']",['Infertility'],"['medical', 'setting', 'receive']"
Staff,32,2,1,White,3.0,Infertility,0.0,Completely trust,Mostly safe,Very confident,available times long wait times,Long wait,0.0,0.0,neutral,negative,positive,361,157,73,0,18,4,0,0,2,"['Long', 'wait']",['Infertility'],"['available', 'times', 'long', 'wait', 'times']"
Student,22,2,0,White,2.0,Infertility,3.0,Mostly trust,Very safe,Somewhat confident,Flexible time slots,Long wait,0.0,0.0,neutral,negative,neutral,111,157,73,1,18,3,2,3,2,"['Long', 'wait']",['Infertility'],"['Flexible', 'time', 'slots']"
Student,34,1,0,White,2.0,Infertility,3.0,Mostly trust,Mostly safe,Somewhat confident,Flexible Scheduling,Long wait,0.0,0.0,neutral,negative,neutral,107,157,73,1,18,3,2,0,2,"['Long', 'wait']",['Infertility'],"['Flexible', 'Scheduling']"
Staff,21,1,0,White,1.0,Anaphylactic shock,3.0,Do not trust at all,Not safe at all,Not sure,free cheese pizza,,0.0,0.0,neutral,neutral,positive,478,0,11,0,18,1,1,1,2,[],"['Anaphylactic', 'shock']","['free', 'cheese', 'pizza']"
Student,19,2,0,White,2.0,Anaphylactic shock,3.0,Completely trust,Very safe,Very confident,relatively close vaccination location,Odd times receive (scheduling),0.0,0.0,neutral,negative,neutral,631,193,11,1,18,4,0,3,2,"['Odd', 'times', 'receive', '(', 'scheduling', ')']","['Anaphylactic', 'shock']","['relatively', 'close', 'vaccination', 'location']"
